,story_id,temperature,evaluation_index,participant_id,novelty,typicality,cohesion,coherence,creativity,genai_familiarity,genai_comfort
0,Erj4,1.334,1,61072,1.895,3.316,5.0,1.123,2.8335,5,4
1,Xt1F,2.0,2,61072,1.0,5.0,2.282,1.815,2.52425,5,4
2,MLY9,1.0,3,61072,2.164,3.322,4.802,1.0,2.822,5,4
3,1bEb,2.0,4,61072,4.507,2.968,4.26,2.769,3.626,5,4
4,xUDC,1.667,5,61072,4.067,1.976,3.842,3.043,3.232,5,4
5,YHrP,0.667,1,53600,3.043,3.043,3.038,3.048,3.043,1,4
6,xcX2,1.334,2,53600,3.027,3.086,3.021,3.043,3.04425,1,4
7,EXZH,0.334,3,53600,3.027,3.064,3.032,3.064,3.0467500000000003,1,4
8,KleG,2.0,4,53600,3.043,3.043,3.043,3.032,3.0402500000000003,1,4
9,A7JT,0.001,5,53600,3.048,3.021,3.054,3.021,3.0359999999999996,1,4
10,SDh5,1.0,1,12170,4.046,1.922,3.214,3.016,3.0495,4,3
11,Fws7,0.667,2,12170,3.016,2.936,2.727,4.072,3.1877500000000003,4,3
12,q_bk,2.0,3,12170,2.877,2.941,3.032,4.678,3.3819999999999997,4,3
13,h2Ze,1.667,4,12170,3.987,2.973,2.979,3.472,3.35275,4,3
14,kZol,1.0,5,12170,3.016,2.941,2.984,2.995,2.984,4,3
15,y45U,1.667,1,82325,3.606,4.834,5.0,1.0,3.61,3,3
16,M3G0,1.334,2,82325,5.0,3.686,2.346,3.708,3.685,3,3
17,HIX9,0.667,3,82325,5.0,3.997,4.244,3.064,4.07625,3,3
18,0-wO,1.334,4,82325,5.0,3.499,3.306,3.257,3.7655,3,3
19,I-uK,0.334,5,82325,2.657,3.016,3.375,1.874,2.7305,3,3
20,Y6zx,0.667,1,82418,1.987,4.083,4.121,2.405,3.149,4,5
21,9ppk,1.0,2,82418,5.0,2.56,1.981,3.649,3.2975000000000003,4,5
22,GwhZ,0.334,3,82418,2.984,4.046,4.11,1.434,3.1435,4,5
23,L9jp,0.334,4,82418,3.617,1.0,1.552,4.035,2.551,4,5
24,1zjI,0.667,5,82418,3.038,4.078,4.035,1.976,3.2817499999999997,4,5
25,-nc7,1.667,1,86912,2.458,3.676,5.0,1.027,3.04025,4,3
26,T96J,1.0,2,86912,3.038,4.26,5.0,1.027,3.33125,4,3
27,Mdt0,2.0,3,86912,1.879,3.016,3.579,1.038,2.378,4,3
28,YoP9,0.334,4,86912,1.987,4.094,5.0,1.236,3.07925,4,3
29,aPfY,1.334,5,86912,1.038,4.662,4.93,1.118,2.937,4,3
30,xUDC,1.667,1,59045,4.555,3.011,4.791,1.493,3.4625,3,3
31,y45U,1.667,2,59045,4.056,2.995,4.378,1.134,3.14075,3,3
32,M3G0,1.334,3,59045,3.542,3.005,4.973,2.496,3.504,3,3
33,HIX9,0.667,4,59045,2.544,4.458,5.0,1.0,3.2505,3,3
34,0-wO,1.334,5,59045,2.442,4.705,3.869,1.0,3.004,3,3
35,P0S3,1.667,1,86769,1.949,4.083,3.027,1.981,2.7600000000000002,3,5
36,Erj4,1.334,2,86769,5.0,2.062,5.0,1.0,3.2655,3,5
37,Xt1F,2.0,3,86769,5.0,1.0,4.233,2.952,3.29625,3,5
38,MLY9,1.0,4,86769,4.212,1.922,1.949,1.965,2.512,3,5
39,1bEb,2.0,5,86769,5.0,1.15,2.067,1.0,2.30425,3,5
40,kZol,1.0,1,35764,4.571,4.228,5.0,4.609,4.602,2,5
41,Y6zx,0.667,2,35764,3.375,3.483,3.761,4.067,3.6715,2,5
42,9ppk,1.0,3,35764,4.008,2.995,3.327,5.0,3.8325,2,5
43,GwhZ,0.334,4,35764,4.389,3.198,4.41,5.0,4.24925,2,5
44,L9jp,0.334,5,35764,2.946,3.81,4.571,1.601,3.232,2,5
45,1zjI,0.667,1,88683,2.223,3.552,3.445,3.0,3.055,3,3
46,YHrP,0.667,2,88683,4.223,2.255,3.976,4.013,3.61675,3,3
47,xcX2,1.334,3,88683,3.547,2.035,2.239,2.265,2.5215,3,3
48,EXZH,0.334,4,88683,1.434,4.067,4.153,3.391,3.26125,3,3
49,KleG,2.0,5,88683,4.099,1.799,3.568,3.214,3.17,3,3
50,P0S3,1.667,1,62686,3.043,3.536,3.584,1.043,2.8015,3,1
51,aPfY,1.334,2,62686,1.971,3.016,3.606,1.097,2.4225,3,1
52,Erj4,1.334,3,62686,2.292,2.029,3.386,1.032,2.18475,3,1
53,Xt1F,2.0,4,62686,3.445,4.298,3.456,1.048,3.06175,3,1
54,MLY9,1.0,5,62686,2.26,3.649,4.008,1.038,2.73875,3,1
55,0-wO,1.334,1,44947,3.466,3.257,3.928,2.319,3.2424999999999997,3,3
56,I-uK,0.334,2,44947,1.0,1.0,3.005,1.96,1.74125,3,3
57,SDh5,1.0,3,44947,2.378,2.979,3.617,2.496,2.8675,3,3
58,Fws7,0.667,4,44947,1.0,1.0,2.008,2.029,1.50925,3,3
59,q_bk,2.0,5,44947,3.354,2.925,1.654,2.802,2.68375,3,3
60,A7JT,0.001,1,23187,4.421,1.418,4.308,1.097,2.811,5,4
61,-nc7,1.667,2,23187,4.078,1.965,3.751,4.292,3.5215,5,4
62,T96J,1.0,3,23187,4.201,3.434,4.249,1.091,3.24375,5,4
63,Mdt0,2.0,4,23187,4.255,1.188,4.287,1.295,2.75625,5,4
64,YoP9,0.334,5,23187,4.292,2.303,4.11,1.29,2.9987500000000002,5,4
65,1bEb,2.0,1,41646,1.965,1.944,1.971,3.981,2.46525,5,3
66,xUDC,1.667,2,41646,3.129,2.989,4.019,1.123,2.815,5,3
67,y45U,1.667,3,41646,5.0,5.0,3.07,1.992,3.7655000000000003,5,3
68,M3G0,1.334,4,41646,5.0,5.0,2.029,4.083,4.0280000000000005,5,3
69,HIX9,0.667,5,41646,3.027,3.016,4.056,3.0,3.27475,5,3
70,h2Ze,1.667,1,65889,3.552,4.051,3.016,1.349,2.992,5,3
71,kZol,1.0,2,65889,5.0,4.078,4.56,1.0,3.6594999999999995,5,3
72,Y6zx,0.667,3,65889,1.466,5.0,2.571,1.306,2.58575,5,3
73,9ppk,1.0,4,65889,2.008,4.072,4.019,1.032,2.78275,5,3
74,GwhZ,0.334,5,65889,2.324,4.072,5.0,1.0,3.099,5,3
75,KleG,2.0,1,81305,2.989,4.421,4.582,1.483,3.3687500000000004,5,3
76,A7JT,0.001,2,81305,1.075,4.941,5.0,1.413,3.10725,5,3
77,-nc7,1.667,3,81305,1.965,4.035,4.845,1.118,2.99075,5,3
78,T96J,1.0,4,81305,4.158,4.952,4.914,1.322,3.8365,5,3
79,Mdt0,2.0,5,81305,5.0,4.019,4.957,1.0,3.7439999999999998,5,3
80,L9jp,0.334,1,87489,3.74,4.121,3.375,1.938,3.2935000000000003,4,2
81,1zjI,0.667,2,87489,2.48,1.981,2.898,1.343,2.1755,4,2
82,YHrP,0.667,3,87489,4.737,1.456,2.55,1.445,2.5469999999999997,4,2
83,xcX2,1.334,4,87489,4.051,1.182,3.483,2.442,2.7895000000000003,4,2
84,EXZH,0.334,5,87489,3.525,3.885,3.633,1.354,3.0992499999999996,4,2
85,aPfY,1.334,1,48524,1.633,2.97,1.454,1.609,1.9164999999999999,3,2
